city,time,temperature_2m_max,temperature_2m_min,precipitation_sum
Berlin,2026-05-15,15.4,5.2,0.0
Berlin,2026-05-16,14.6,7.1,0.0
Berlin,2026-05-17,17.7,7.2,0.0
Berlin,2026-05-18,19.8,9.1,0.3
Berlin,2026-05-19,20.3,10.5,0.0
Berlin,2026-05-20,21.2,11.2,3.6
Berlin,2026-05-21,23.1,12.4,0.0
London,2026-05-15,13.8,6.7,0.2
London,2026-05-16,13.9,7.7,1.4
London,2026-05-17,15.2,9.4,1.7
London,2026-05-18,14.3,8.6,0.6
London,2026-05-19,17.5,11.0,5.7
London,2026-05-20,21.8,11.6,0.0
London,2026-05-21,23.4,12.2,0.0
New York,2026-05-15,19.4,9.5,0.0
New York,2026-05-16,27.5,10.0,0.0
New York,2026-05-17,25.4,17.2,0.1
New York,2026-05-18,22.4,16.9,0.0
New York,2026-05-19,31.1,16.8,0.1
New York,2026-05-20,31.0,20.8,6.3
New York,2026-05-21,20.9,11.5,4.5
Tokyo,2026-05-16,24.2,13.8,0.0
Tokyo,2026-05-17,28.0,13.6,0.0
Tokyo,2026-05-18,28.2,13.8,0.0
Tokyo,2026-05-19,31.5,19.6,0.0
Tokyo,2026-05-20,29.1,19.4,3.3
Tokyo,2026-05-21,19.9,16.0,19.2
Tokyo,2026-05-22,22.7,15.1,0.0
